Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;91;Для лица;Натуральная эссенция;Pure Essence Skin Supplement;30;;Anna lotan;GREENS;760000;1064000;;401;;;;;;
;92;Для лица;Лифтинг - флюид;GREENS Vital Lifting Fluid;50;;Anna lotan;GREENS;722000;1010800;;402;;;;;;
;93;Для лица;"Лифтинг-крем против морщин ""Пролин"" ";Proligne Lifting Anti Wrinkle Cream;50;;Anna lotan;GREENS;387600;542600;;414;;;;;;
;94;Для лица;"Лифтинг-крем против морщин ""Пролин"" ";Proligne Lifting Anti Wrinkle Cream;125;93;Anna lotan;GREENS;608000;851200;;4414;;;;;;
;95;Для лица;"Крем против морщин ""ГРИНС"" ";Wrinkle Relaxing Balm;30;;Anna lotan;GREENS;537700;752800;;407;;;;;;
;96;Для лица;"Крем дневной увлажняющий тонирующий с SPF30 ""Камелия""";GREENS Camellia Tinted Day Cream SPF 30+;50;;Anna lotan;GREENS;285000;399000;;425;;;;;;
;97;Для лица;"Крем дневной увлажняющий тонирующий с SPF30 ""Камелия""";GREENS Camellia Tinted Day Cream SPF 30+;250;96;Anna lotan;GREENS;???;???;;4425;;;;;;
;98;Для лица;"Активная подтягивающая сыворотка ""ИНСТАНТ ЛИФТ""";Instant Lift;30;;Anna lotan;GREENS;400900;561300;;408;;;;;;
;99;Для лица;"Маска ""Кресс-салат"" для нормальной/сухой кожи";Garden Cress Mask;70;;Anna lotan;GREENS;300200;420300;;417;;;;;;
;100;Для лица;Очищающая пенка с маслом облепихи сибирской;Liquid Gold Foam Wash;50;;Anna lotan;LIQUID GOLD;209000;292600;;139;;;;;;
;101;Для лица;Очищающая пенка с маслом облепихи сибирской;Liquid Gold Foam Wash;200;100;Anna lotan;LIQUID GOLD;281200;393700;;4139;;;;;;
;102;Для лица;Молочко очищающее с маслом облепихи сибирской;Liquid Gold Cleansing Milk;200;;Anna lotan;LIQUID GOLD;271700;380400;;235;;;;;;
;103;Для лица;Гель очищающий;Liquid Gold Facial Foaming Ge;200;;Anna lotan;LIQUID GOLD;254600;356400;;164;;;;;;
;104;Для лица;"Лосьон для лица ""ЗОЛОТОЙ""";Liquid Gold Facial Toner;200;;Anna lotan;LIQUID GOLD;271700;380400;;236;;;;;;
;105;Для лица;"Активный лосьон-гель для лица ""ЗОЛОТОЙ""";Liquid Gold Revitalizing AHA Face Lotion;100;;Anna lotan;LIQUID GOLD;399000;558600;;287;;;;;;
;106;Для лица;"Скраб ""Золотой"" с морскими водорослями и маслом облепихи сибирской";Golden Marine Scrub;30;;Anna lotan;LIQUID GOLD;292600;409600;;148;;;;;;
;107;Для лица;"Флюид ""Золотые капли""";Liquid Gold Marine Fluid;30;;Anna lotan;LIQUID GOLD;326800;457500;;147;;;;;;
;108;Для лица;"Масло ""Золотые капли""";Liquid Gold Siberian Seabickthorn Oil;30;;Anna lotan;LIQUID GOLD;419900;587900;;123;;;;;;
;109;Для лица;"Сыворотка ""Золотой шелк""";Golden Silk Facial Serum;50;;Anna lotan;LIQUID GOLD;520600;728800;;768;;;;;;
;110;Для лица;Крем-гель с маслом облепихи сибирской;Liquid Gold Cream Gel;60;;Anna lotan;LIQUID GOLD;315400;441600;;146;;;;;;
;111;Для лица;"Крем дневной ""Золотой"" с маслом облепихи сибирской";Golden Day Cream;60;;Anna lotan;LIQUID GOLD;315400;441600;;218;;;;;;
;112;Для лица;"Крем дневной ""Золотой"" с маслом облепихи сибирской";Golden Day Cream;250;111;Anna lotan;LIQUID GOLD;640300;896400;;4218;;;;;;
;113;Для лица;"Крем ночной ""Золотой"" с маслом облепихи сибирской";Golden Night Cream;50;;Anna lotan;LIQUID GOLD;419900;587900;;149;;;;;;
;114;Для лица;"Крем ночной ""Золотой"" с маслом облепихи сибирской";Golden Night Cream;250;113;Anna lotan;LIQUID GOLD;1039300;1455000;;4149;;;;;;
;115;Для лица;"Крем для кожи вокруг глаз ""Золотое масло"" с маслом облепихи сибирской";Solid Gold;30;;Anna lotan;LIQUID GOLD;420700;589000;;142;;;;;;
;116;Для лица;"Крем ""Грино-Голд"" с маслом облепихи сибирской";Greeno-Gold Wrinkle Relaxing Balm;15;;Anna lotan;LIQUID GOLD;381900;534700;;789;;;;;;
;117;Для лица;"Маска ""Золотая"" с маслом облепихи сибирской";Golden Facial Mask;60;;Anna lotan;LIQUID GOLD;285000;399000;;062;;;;;;
;118;Для лица;"Крем дневной с маслом облепихи сибирской ""Тройной эффект"" для всех типов кожи SPF30+";Triple Benefit Tinted Moisturizing Day Cream SPF30+;100;;Anna lotan;LIQUID GOLD;315400;441600;;152;;;;;;
;119;Для лица;Liguid Gold Интенсивная маска для волос;Liguid Gold Intensiv Hair Mask;200;;Anna lotan;LIQUID GOLD;186200;260700;;769;;;;;;
;120;Для лица;Влажные косметические салфетки для снятия макияжа;Liquid Gold Cosmetic Wipe with Liquid Makeup Remover;36 шт. в упаковке;;Anna lotan;LIQUID GOLD;207100;289900;;5400;;;;;;
;121;Для лица;Средство для снятия макияжа для глаз с маслом жожоба;Eyesoclear eye makeup remover;40;;Anna lotan;EYE AND LIPS CARE  ;203300;284600;;098;;;;;;
;122;Для лица;Контурный гель для кожи вокруг глаз;Eye Contour Gel;30;;Anna lotan;EYE AND LIPS CARE  ;284600;398400;;048;;;;;;
;123;Для лица;Контурный гель для кожи вокруг глаз;Eye Contour Gel;100;122;Anna lotan;EYE AND LIPS CARE  ;454100;635700;;4048;;;;;;
;124;Для лица;Гель для век с лифтинг эффектом; Lifting Eye Contour Fluid;15;;Anna lotan;EYE AND LIPS CARE  ;509200;712900;;211;;;;;;
;125;Для лица;"Нежный крем для кожи вокруг глаз ""Delicate Replenisher""";Delicate Replenisher for eye contour;30;;Anna lotan;EYE AND LIPS CARE  ;336300;470800;;145;;;;;;
;126;Для лица;Крем-основа для век и шеи;Under Make Up Eye & Neck Cream;40;;Anna lotan;EYE AND LIPS CARE  ;271700;380400;;071;;;;;;
;127;;Бальзам для губ;Plumping Lip Balm;15;;Anna lotan;EYE AND LIPS CARE  ;248900;348500;;074;;;;;;
;128;;Гель основа Колагель;Collagel;250;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;195700;274000;;4040;;;;;;
;129;;Гель основа Колагель;Collagel;600;128;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;340100;476100;;7040;;;;;;
;130;;Натуральный алоэ-вера гель;Pure Soothing Aloe Vera Natural Gel;50;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;131100;183500;;042;;;;;;
;131;;Натуральный алоэ-вера гель;Pure Soothing Aloe Vera Natural Gel;125;130;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;212800;297900;;1042;;;;;;
;132;;Гидрирующая маска;"Hydrator Intensive Quenching Mask линии ""CLEAR""";70;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;134900;188900;;807;;;;;;
;133;;Гель алоэ-вера;Greens Preserved Aloe Pure Gel;50;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;142500;199500;;410;;;;;;
;134;;Кальмогель;CalmaGel Sooting Topical Gel;500;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;395200;553300;;764;;;;;;
;135;;Гель Эхинацея;Echinacea Gel;100;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;216600;303200;;1089;;;;;;
;136;;Гель Эхинацея;Echinacea Gel;400;;Anna lotan;ПРЕПАРАТЫ  ДЛЯ ПРОХЛАДНОГО ГИДРИРОВАНИЯ;522500;731500;;089;;;;;;
;137;;Профессиональный демакияж;Professional Make-Up Remover >99% Natural;100;;Anna lotan;ПРЕПАРАТЫ ДЛЯ ПРОФЕССИОНАЛЬНОГО ПРИМЕНЕНИЯ;237500;332500;;191;;;;;;
;138;;Пудра с прополисом для жирной кожи Propolis Propowder;Propolis PROPOWDER;30;;Anna lotan;ПРЕПАРАТЫ ДЛЯ ПРОФЕССИОНАЛЬНОГО ПРИМЕНЕНИЯ;131100;183500;;008;;;;;;
;139;;"Маска для лица ""ТерраМад"": Апельсин";Terramud Mask-Arancia;70;;Anna lotan;TERRA MUD MASK;342000;478800;;341;;;;;;
;140;;"Маска для лица ""ТерраМад"": Шоколад";Terramud Mask-Cioccolato;70;;Anna lotan;TERRA MUD MASK;342000;478800;;342;;;;;;
;141;;"Маска для лица ""ТерраМад"": Кофе";TerraMud Mask: Caffe;70;;Anna lotan;TERRA MUD MASK;342000;478800;;343;;;;;;
;142;;"Маска для лица ""ТерраМад"": Лесная ягода";Terramud Mask-Frutta di Bosco;70;;Anna lotan;TERRA MUD MASK;342000;478800;;344;;;;;;
;143;;"Маска для лица ""ТерраМад"": Тирамису";Terramud Mask-Tiramisu;70;;Anna lotan;TERRA MUD MASK;342000;478800;;345;;;;;;
;144;;"Маска для лица ""ТерраМад"": Лимончелло";Terramud Mask-Limoncello;70;;Anna lotan;TERRA MUD MASK;342000;478800;;346;;;;;;
;145;;"Маска для лица ""ТерраМад"""; LIQUIRIZIA;150;;Anna lotan;TERRA MUD MASK;494000;691600;;347;;;;;;
;146;;"Сыворотка успокаивающая ""Редлесс""";Redless Calming Treatment Natural 99%;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;370500;518700;;330set;;;;;;
;147;;"Эссенция ""Клир-Контроль"" для жирной/проблемной кожи";"CONTROL 100% Natural линии ""CLEAR""";8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;480700;673000;;331set;;;;;;
;148;;"Эмульсия ""Анти Рид"" для сухой кожи";Anti Rides;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;421800;590500;;332set;;;;;;
;149;;Осветляющий комплекс; Lightening Complex 99% Natural;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;421800;590500;;333set;;;;;;
;150;;Бальзам для Т-зоны;T-Zone Balm 100% Natural;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;421800;590500;;334set;;;;;;
;151;;Обновляющая сыворотка для сухой кожи;Regenerant Natural Oil Supplement;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;480700;673000;;335set;;;;;;
;152;;Подтягивающая сыворотка;Lifting Fluid Instant Toning;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;370500;518700;;336set;;;;;;
;153;;"Увлажняющая сыворотка ""Фреш""";Fresh Moisturizing Complex 100% Natural;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;370500;518700;;337set;;;;;;
;154;;Набор из 8 сывороток;Skin Supplements;8x4,2;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;421800;590500;;8set;;;;;;
;155;;Капсулы с Ретинолом;Retinol Capsules;80;;Anna lotan;АКТИВНЫЕ  АМПУЛЬНЫЕ ПРЕПАРАТЫ;1210300;1694400;;4903;;;;;;
;156;;Жидкое мыло для интимных участков тела;Liquid Gold Intimate Foam Wash Intimild;200;;Anna lotan;BODY CARE;242300;339200;;135;;;;;;
;157;;Минеральный скраб для тела;Dead Sea Mineral Body Scrub With Cayenne;625;;Anna lotan;BODY CARE;744800;1042700;;7272;;;;;;
;158;;Лосьон для тела с маслом облепихи сибирской серии Liquid Gold;Liquid Gold Body Lotion;200;;Anna lotan;BODY CARE;209000;292600;;126;;;;;;
;159;;Лосьон для тела с маслом облепихи сибирской серии Liquid Gold;Liquid Gold Body Lotion;625;158;Anna lotan;BODY CARE;357000;499800;;7126;;;;;;
;160;;"Крем для тела линии ""GREENS""";Naturally Preserved Body Cream;150;;Anna lotan;BODY CARE;195700;274000;;415;;;;;;
;161;;"Крем для тела линии ""GREENS""";Naturally Preserved Body Cream;400;160;Anna lotan;BODY CARE;355300;497400;;4415;;;;;;
;162;;Нежный крем для тела для всех типов кожи;Classic  Pampering Body Butter;150;;Anna lotan;BODY CARE;218500;305900;;324;;;;;;
;163;;"Лосьон с SPF30 ""Парасоль""";Parasol Sunscreen Lotion SPF 30;100;;Anna lotan;BODY CARE;252700;353800;;237;;;;;;
;164;;Крем для рук с минералами Мёртвого моря;Hand Cream With Dead Sea Minerals;100;;Anna lotan;BODY CARE;138700;194200;;150;;;;;;
;165;;Антиперспирант крем;Antiperspirant Cream;50;;Anna lotan;BODY CARE;242300;339200;;088;;;;;;
;166;;Дезодорант;Deodorant Fluid;100;;Anna lotan;BODY CARE;161500;226100;;747;;;;;;
;167;;"Гель после депиляции ""Аромагель"""; After Depilation Aromagel;200;;Anna lotan;BODY CARE;243200;340500;;4106;;;;;;
;168;;Био минеральный скраб;Bio Mineral Scrub;200;;Anna lotan;BODY CARE;319200;446900;;4458;;;;;;
;169;для ног;Бальзам для ног;Mineral Foot Balsam;100;;Anna lotan;BODY CARE;209000;292600;;060;;;;;;
;170;для ног;Бальзам для ног;Mineral Foot Balsam;250;169;Anna lotan;BODY CARE;326800;457500;;4060;;;;;;
;171;;"Укрепляющий гель для ногтей ""Нони нейл""";Nail Shield;16;;Anna lotan;BODY CARE;182400;255400;;128;;;;;;
;172;;Эксклюзивный тонирующий крем Премиум ББ Крем с SPF36;Premium BB Cream;30;;Anna lotan;МАКИЯЖ С УХАЖИВАЮЩИМ И ЛЕЧЕБНЫМ ЭФФЕКТОМ;551000;771400;;3290-3293;;;;;;
;173;;Тональный крем для жирной проблемной кожи;Oil Free Formula;20;;Anna lotan;МАКИЯЖ С УХАЖИВАЮЩИМ И ЛЕЧЕБНЫМ ЭФФЕКТОМ;302100;422900;;570 - 571;;;;;;
;174;;Увлажняющий тональный крем;Moisture Complex Foundation;35;;Anna lotan;МАКИЯЖ С УХАЖИВАЮЩИМ И ЛЕЧЕБНЫМ ЭФФЕКТОМ;359100;502700;;3420-3424;;;;;;
;175;;"Тональный крем ""Ботаникал""";Botanical;30;;Anna lotan;МАКИЯЖ С УХАЖИВАЮЩИМ И ЛЕЧЕБНЫМ ЭФФЕКТОМ;362900;508100;;501,  503;;;;;;
;176;;"Пудра рассыпчатая ""Камуфляж"" с SPF17";Concealing Powder Foundation SPF17;14 гр;;Anna lotan;МАКИЯЖ С УХАЖИВАЮЩИМ И ЛЕЧЕБНЫМ ЭФФЕКТОМ;296400;415000;;200-203, 207;;;;;;
;177;;Пудра компактная, тон №0-2; Pressed Finishing Powder;10;;Anna lotan;МАКИЯЖ С УХАЖИВАЮЩИМ И ЛЕЧЕБНЫМ ЭФФЕКТОМ;393100;550300;;6150-6152;;;;;;
;178;;Косметичка Анна Лотан ;;1 шт.;;Anna lotan;СОПУТСТВУЮЩИЕ АКСЕССУАРЫ;28500;50000;;;;;;;;
;179;;Крышка-дозатор с помпой 4мл ;;1 шт.;;Anna lotan;СОПУТСТВУЮЩИЕ АКСЕССУАРЫ;64600;90400;;;;;;;;
